main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Naga Ragi Flour,Naga,47,49,1 pack (500 g),4.7 (2.2k),In Stock,https://www.zeptonow.com/pn/naga-ragi-flour/pvid/c9479639-bc8f-4065-8e5d-0b255f52a645,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/ddaa0ba3-3796-4aca-b268-f1c14c384ad6.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Safe Harvest Pesticide-Free Groundnut | Natural and Delicious,Delicious,150,169,1 pack (500 g),4.7 (3.2k),In Stock,https://www.zeptonow.com/pn/safe-harvest-pesticide-free-groundnut-natural-and-delicious/pvid/62290a21-87ee-40d6-a6b0-e1db889606e5,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/5dc29c32-ba42-4822-afaa-597b02ef9250.jpg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Anveshan A2 Desi Cow Ghee,Anveshan,1849,2160,1 pc (1 L),4.5 (84),In Stock,https://www.zeptonow.com/pn/anveshan-a2-desi-cow-ghee/pvid/45cd34e6-ffcc-4e43-83f5-a203b62934a1,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/9975d5bd-bd6c-4a1e-868b-af6ddd0539d0.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Naga Sooji,Naga,92,102,1 pack (1 kg),4.7 (7.2k),In Stock,https://www.zeptonow.com/pn/naga-sooji/pvid/f26524c0-116a-4b51-b14c-063ab8367829,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/ef4fa976-d642-45fa-892a-07ff722c8c3c.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Aashirvaad Multigrain Atta | 3 Rotis Fulfils 35% Daily Fibre,Aashirvaad,362,406,1 pack (5 kg),4.7 (26.9k),In Stock,https://www.zeptonow.com/pn/aashirvaad-multigrain-atta-3-rotis-fulfils-35-daily-fibre/pvid/16806c97-f2dc-4374-9a1c-c2a45376d0f8,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/a2cddf8f-bad7-47e2-94cc-977b81db0c07.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Naga Samba Rava,Naga,82,93,1 pack (500 g),4.8 (3.3k),In Stock,https://www.zeptonow.com/pn/naga-samba-rava/pvid/3db73049-af91-47db-be27-10d78b4c2f00,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/a30a607b-00dc-45c4-9046-51c953ef98c3.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Naga Sooji,Naga,48,50,1 pack (500 g),4.7 (10.6k),In Stock,https://www.zeptonow.com/pn/naga-sooji/pvid/60146a21-233a-4cf4-8137-6cf37ef4e817,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/55205b0d-6f41-41a1-b093-93cc677e5e31.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Tata Sampann Unpolished Toor Dal-Arhar Dal,Tata,196,210,1 pack (1 kg),4.7 (31.2k),In Stock,https://www.zeptonow.com/pn/tata-sampann-unpolished-toor-dal-arhar-dal/pvid/1b3c9c59-924f-436c-91fb-910bcc3dee01,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/ddae04ed-05ae-4b5a-846e-0f579b5d2fb5.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Pillsbury Atta/Godihittu - Chakki Fresh,Pillsbury,294,355,1 pack (5 kg),4.6 (12.6k),In Stock,https://www.zeptonow.com/pn/pillsbury-attagodihittu-chakki-fresh/pvid/9a99b440-cf97-4601-b478-1b6b7ef3f17c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/d273138c-cf6d-498a-998b-186d94a9542a.jpeg"
"Atta, Rice, Oil & Dals",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/14.png",Daawat Sona Masuri | Raw,Daawat,1966,2250,1 pack (26 kg),4 (236),In Stock,https://www.zeptonow.com/pn/daawat-sona-masuri-raw/pvid/71ccd2b2-8cc0-4044-8ddc-bad69e098709,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/e6361fe3-4d80-4220-80b7-c4339ffe9944.jpeg"
