main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",The Select Aisle Vanilla Flavour Essence,The Select Aisle,169,169,100 ml,4.3 (800),In Stock,https://www.zeptonow.com/pn/the-select-aisle-vanilla-flavour-essence/pvid/fe57fdc0-a361-4d32-b3d3-6c6eda106213,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/d0effaf5-b677-4155-bbbe-f7b9d44addcf.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",MTR Gulab Jamun Mix,MTR,145,145,2 x 175 g,4.7 (9.5k),In Stock,https://www.zeptonow.com/pn/mtr-gulab-jamun-mix/pvid/f0c82df8-38ac-4414-a0bf-13455213a155,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/97ebdfe6-27b5-41ad-a58b-0fbc245b88d3.jpg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",MTR Rava Idli Instant Mix,MTR,137,150,500 g,4.8 (4.0k),In Stock,https://www.zeptonow.com/pn/mtr-rava-idli-instant-mix/pvid/6dae6f61-2f3c-4fb3-8431-1bbeeb97c8e6,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1021-1021,pr-true,f-auto,q-80/cms/product_variant/30803e2d-718b-4f18-a84f-52154fdadf4d.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",Aptamil Gold Stage 2 Follow Up Formula Powder Refill,Aptamil,1080,1080,400 g,5 (578),In Stock,https://www.zeptonow.com/pn/aptamil-gold-stage-2-follow-up-formula-powder-refill/pvid/56aea45e-3c0d-4abf-9738-23035f7dba6d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/a8bdc19a-e27d-40b9-a40b-ebd305abcf0c.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",Swetha Telugu Foods Red Chilli Pickle,Swetha,75,110,300 g,4.9 (519),In Stock,https://www.zeptonow.com/pn/swetha-telugu-foods-red-chilli-pickle/pvid/d1058f8d-a5b2-454b-a5e2-1d8c8b93f7b9,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/c0fee718-b67f-4104-a957-69ef2136bbc0.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png","Disano Penne Pasta, 100% Durum Wheat, No Maida",Disano,93,130,2 x 400 g,4.6 (14.8k),In Stock,https://www.zeptonow.com/pn/disano-penne-pasta-100-durum-wheat-no-maida/pvid/c21e1250-7778-4071-b33a-dbe00b3490c7,"https://cdn.zeptonow.com/production/tr:w-1280,ar-960-1000,pr-true,f-auto,q-80/cms/product_variant/9b16c9d7-6b87-4ee8-911a-c539d0a7155c.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",The Select Aisle Milk Chocolate Chips,The Select Aisle,180,180,150 g,4.4 (940),In Stock,https://www.zeptonow.com/pn/the-select-aisle-milk-chocolate-chips/pvid/b3bc4cca-ae59-4110-a7f7-759822fad8f2,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/f12537fb-f1ff-438f-a002-c7d81a8b9eb4.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",Korean Nongshim Shin Ramyun Noodle Soup Veg,Nongshim,539,649,600 g,5 (538),In Stock,https://www.zeptonow.com/pn/korean-nongshim-shin-ramyun-noodle-soup-veg/pvid/087ee3c2-d0b9-4ca2-87c6-fcbd679b980c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/ce6d3692-7202-4766-aaa4-9c7338ad8552.jpeg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",Dexolac Infant Formula Milk Powder For Babies - Stage 2 | 6 To 12 Months | Large Pack,Dexolac,1485,1485,1.2 kg,4.2 (736),In Stock,https://www.zeptonow.com/pn/dexolac-infant-formula-milk-powder-for-babies-stage-2-6-to-12-months-large-pack/pvid/52d0e34f-9129-4692-94eb-8a74f7bbc68c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1001-1001,pr-true,f-auto,q-80/cms/product_variant/31285a92-eebb-48b3-81ec-c6059de24fad.jpg"
Baby Food,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/00d2420e-725f-4238-89a6-1e8c31019e51.png",YiPPee! Magic Masala Noodles with Added Veggies - The Better Noodles,YiPPee!,57,60,280 g,4.6 (62.2k),In Stock,https://www.zeptonow.com/pn/yippee-magic-masala-noodles-with-added-veggies-the-better-noodles/pvid/26351a3b-6f0c-4292-8623-01ae98a0ae1b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/db5cb46f-1ab6-4eaa-a1d4-dcd28bdf87ea.jpeg"
