main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",MyFitness Chocolate Peanut Butter Crunchy Spread | High Protein,MyFitness,593,689,1.25 kg,4.6 (7.3k),In Stock,https://www.zeptonow.com/pn/myfitness-chocolate-peanut-butter-crunchy-spread-high-protein/pvid/77731a97-e79e-425e-93f6-a06d8e45c4a5,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/dec4e3de-7353-4fae-a777-8556f5d7d261.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Yogabar Chocos Chocolately Breakfast Cereal,Yogabar,385,549,850 g,4.6 (201),In Stock,https://www.zeptonow.com/pn/yogabar-chocos-chocolately-breakfast-cereal/pvid/a63d0ccd-2377-415a-aa1e-a6304b97cd0a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/c9dbfbaf-8f6b-4293-884e-7a34f04dff37.jpg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Veeba Tomato Ketchup - Chef's Special,Veeba,80,120,900 g,4.7 (22.8k),In Stock,https://www.zeptonow.com/pn/veeba-tomato-ketchup-chefs-special/pvid/43ed0ee1-15a1-4f32-82b3-f01909904d4b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/11945376-e922-4e4e-96fe-d3232f8c4593.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Yogabar Crunchy Cornflakes,Yogabar,238,355,850 g,4.6 (473),In Stock,https://www.zeptonow.com/pn/yogabar-crunchy-cornflakes/pvid/17159aea-c4fa-4e0e-8928-2e74a42e1958,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1600-1600,pr-true,f-auto,q-80/cms/product_variant/58fdadce-6499-4060-bc2a-724861e26807.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Kellogg's Muesli Fruit Nut & Seeds 12-in-1 Power Breakfast,Kellogg's,462,525,750 g,4.8 (7.3k),In Stock,https://www.zeptonow.com/pn/kelloggs-muesli-fruit-nut-seeds-12-in-1-power-breakfast/pvid/2a7ab3f9-838d-4176-bd5d-0da806212eb7,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/378cdc0e-0a81-47cb-8a22-395535fd053d.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Yogabar Organic Quinoa I Gluten Free I High In Iron & Fibre | 100% Vegan & No Added Preservatives,Yogabar,267,499,1 kg,4.8 (666),In Stock,https://www.zeptonow.com/pn/yogabar-organic-quinoa-i-gluten-free-i-high-in-iron-fibre-100-vegan-no-added-preservatives/pvid/76b1a98b-19fa-4169-8282-56d87c1a74c4,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/0aec8ccf-162b-43aa-95eb-d4ab3b833be7.jpg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Veeba Smokey Barbeque Sauce,Veeba,175,175,330 g,4.4 (632),In Stock,https://www.zeptonow.com/pn/veeba-smokey-barbeque-sauce/pvid/f4442fc6-ed19-4269-811f-a68fd6345097,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/04a54282-85fb-45cc-9eb6-49139c4712f6.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Wingreens Farms Premium Veg Mayo,Wingreens,168,250,800 g,4.7 (3.3k),In Stock,https://www.zeptonow.com/pn/wingreens-farms-premium-veg-mayo/pvid/70efcdc6-62b8-4473-b966-79d47e209cbb,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/639e8d4e-8c8c-4395-b66d-633cbe275784.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png","Yoga Bar No Maida Choco Cereal,Chocolatey Breakfast for Kids, Protein & Multigrain Cereal",Yoga,128,160,345 g,4.7 (676),In Stock,https://www.zeptonow.com/pn/yoga-bar-no-maida-choco-cerealchocolatey-breakfast-for-kids-protein-multigrain-cereal/pvid/7b11439b-ab5f-4fba-b5cc-bfeac77f9ad9,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/40bc0b2f-1988-498f-a717-2e57b2e251ab.jpeg"
Breakfast & Sauces,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/154.png",Kellogg's Muesli 0% Added Sugar | 12-in-1 Power Breakfast | India's No. 1 Muesli,Kellogg's,355,395,500 g,4.6 (1.3k),In Stock,https://www.zeptonow.com/pn/kelloggs-muesli-0-added-sugar-12-in-1-power-breakfast-indias-no-1-muesli/pvid/4a3a0ddc-faaa-4514-ba43-7048edfabbd7,"https://cdn.zeptonow.com/production/tr:w-1280,ar-514-675,pr-true,f-auto,q-80/cms/product_variant/2740926e-4c15-40e3-8193-5bb4ea4a1b6a.jpeg"
