main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Red Bull Energy Drink,Red,124,125,250 ml,4.7 (51.7k),In Stock,https://www.zeptonow.com/pn/red-bull-energy-drink/pvid/6d6381a9-3992-4e77-84b8-0d5200d6e92a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/1a7c5ae4-58ca-4b92-afc5-9931f75c6319.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Pepsi Soft Drink,Pepsi,40,40,750 ml,4.6 (105.7k),In Stock,https://www.zeptonow.com/pn/pepsi-soft-drink/pvid/7809c74d-5d4b-4e1b-a29f-621c17765d09,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4c8b713f-1622-482d-91a8-50ee4f1f6a52.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Diet Coke Cola Diet Soft Drink Can,Diet,40,40,300 ml,4.6 (74.5k),In Stock,https://www.zeptonow.com/pn/diet-coke-cola-diet-soft-drink-can/pvid/26d064b9-25df-44a4-811b-cba9146cfd3b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/221420f0-e673-419e-9fb1-acb974557e66.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Sprite Lemon and Lime Soft Drink,Sprite,43,45,750 ml,4.6 (160.8k),In Stock,https://www.zeptonow.com/pn/sprite-lemon-and-lime-soft-drink/pvid/f5df501b-ba7d-49ef-91b9-bc5c79c51dd8,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/2fb0b791-ee38-4341-9494-1dfe361acb5f.jpg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Storia Tender Coconut Water,Storia,98,178,1 L,4.7 (23.3k),In Stock,https://www.zeptonow.com/pn/storia-tender-coconut-water/pvid/7f630712-149f-46c9-b52f-4b2c09e3d27d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/40e0a528-75c0-45e5-ab98-255fc62ef2b8.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Amul Masti Spiced Buttermilk,Amul,15,15,200 ml,4.7 (106.2k),In Stock,https://www.zeptonow.com/pn/amul-masti-spiced-buttermilk/pvid/a8fc94dd-57fc-40a4-a9fe-f21c3a358521,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/3914b79d-2e1a-4422-887a-513ecacf7196.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Coolberg Cranberry Non Alcoholic Beer,Coolberg,83,99,330 ml,4.6 (11.5k),In Stock,https://www.zeptonow.com/pn/coolberg-cranberry-non-alcoholic-beer/pvid/8a87485a-019f-4108-8a58-b83b28c7a819,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2084-2084,pr-true,f-auto,q-80/cms/product_variant/73d169ca-cc6f-4eec-ba4d-f231ba83b6e8.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Maaza Mango Fruit Juice,Maaza,42,42,600 ml,4.5 (143.7k),In Stock,https://www.zeptonow.com/pn/maaza-mango-fruit-juice/pvid/8d9983c5-593c-42ed-8bee-33314f213021,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4efbd48b-371b-4daf-9bdf-fd0d884dd8fb.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Thums Up Soft Drink,Thums,43,45,750 ml,4.6 (294.8k),In Stock,https://www.zeptonow.com/pn/thums-up-soft-drink/pvid/7e9d72bc-98ea-4d0c-9147-c886c6a453ef,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/acdceef2-3ec0-4d89-b7e2-0ea08e69faf5.jpeg"
Cold Drinks & Juices,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-500-500,pr-true,f-auto,q-80/cms/sub_category/aefb7b57-3681-4bfe-88d9-d2cc3ce9e038.png",Coca Cola Soft Drink,Coca,43,45,750 ml,4.6 (158.2k),In Stock,https://www.zeptonow.com/pn/coca-cola-soft-drink/pvid/fed97af4-b3bb-44b4-9390-d2748ce7cdc1,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/e8143a5e-6cc5-45ce-ab5f-a60754dc087d.jpeg"
