main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",iD Fresh Malabar Parota,iD,105,105,400 g,4.7 (40.8k),In Stock,https://www.zeptonow.com/pn/id-fresh-malabar-parota/pvid/32262b8b-8205-43db-995f-9c32d020292b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/65a31aa3-81f9-4184-9531-122feed06451.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",Yummiez Green Peas,Yu,149,160,500 g,4.6 (10.1k),In Stock,https://www.zeptonow.com/pn/yummiez-green-peas/pvid/46cd5bc6-3f03-4faf-a6d8-4825cbc0cd8e,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/2c3cf0da-b016-4b5d-b68d-2803cf604e41.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",McCain French Fries,McCain,98,125,420 g,4.7 (56.4k),In Stock,https://www.zeptonow.com/pn/mccain-french-fries/pvid/cefb066b-c0f5-4a09-abc8-683f67daf141,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3481-3999,pr-true,f-auto,q-80/cms/product_variant/c51703d3-5c97-4d5e-8cee-1c012802f318.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",McCain Smiles,McCain,150,150,415 g,4.6 (16.3k),In Stock,https://www.zeptonow.com/pn/mccain-smiles/pvid/581b568c-738f-4d74-a46a-12fb2926cf3f,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/d898fdfb-c5ca-4696-9d27-35bb96e2062d.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",McCain Variety Pack,McCain,175,175,550 g,4.7 (18.0k),In Stock,https://www.zeptonow.com/pn/mccain-variety-pack/pvid/442e670e-111f-48ee-8aea-84b26a4ff62d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/e625e166-0b0d-4496-abf1-c51d5ab4cce6.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",ITC Master Chef Chicken Seekh Kebab | High in Protein | No Added preservatives | Microwave Friendly,ITC,365,365,500 g,4.8 (2.5k),In Stock,https://www.zeptonow.com/pn/itc-master-chef-chicken-seekh-kebab-high-in-protein-no-added-preservatives-microwave-friendly/pvid/c0329da3-8850-49fb-a00c-adf139731a03,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2560-2560,pr-true,f-auto,q-80/cms/product_variant/8e4fc3b7-a3da-4fd8-9a98-82bce429bed8.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",ITC Master Chef Medium Prawns | Freshly Frozen | 15 hours from the Time of Harvesting,ITC,223,250,200 g,4.6 (2.8k),In Stock,https://www.zeptonow.com/pn/itc-master-chef-medium-prawns-freshly-frozen-15-hours-from-the-time-of-harvesting/pvid/d8beb5e6-c810-4435-97dd-4b9974e52bba,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2560-2560,pr-true,f-auto,q-80/cms/product_variant/8ed4a05f-0242-49c4-8f3f-669e05d1da8c.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",Godrej Yummiez Chicken Nuggets,Yu,299,370,500 g,4.7 (2.6k),In Stock,https://www.zeptonow.com/pn/godrej-yummiez-chicken-nuggets/pvid/541131fb-3067-40ad-868d-ff506c42994f,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/11c52004-fa64-47f5-b588-2c8961e27ca6.jpeg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",Prasuma Spicy Chicken Momos,MOM,306,325,1 pack (24 pcs),4.7 (2.3k),In Stock,https://www.zeptonow.com/pn/prasuma-spicy-chicken-momos/pvid/78a0044b-9bb4-47e0-8eff-d5b7cda6e189,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/e8253482-1d3d-4527-a3b5-52f3fb2d9b18.jpg"
Frozen Food & Ice Creams,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/53.png",iD Fresh Whole Wheat Chapati (10 pieces),iD,79,79,400 g,4.5 (18.8k),In Stock,https://www.zeptonow.com/pn/id-fresh-whole-wheat-chapati-10-pieces/pvid/b31b9175-5030-434d-a453-4c233fbdf83a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/8dfae6a8-9187-445e-bd71-283add729820.jpeg"
