main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png","Coriander Leaves (Koththamalli) - Cleaned, with roots",Coriander,9,12,80 - 100 g,4.7 (100.6k),In Stock,https://www.zeptonow.com/pn/coriander-leaves-koththamalli-cleaned-with-roots/pvid/0343b088-753d-4dd9-b35c-2e497a059aec,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/67c49fc8-f524-4a3d-91f4-7623ec5ea49b.jpeg"
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Tomato Country / Naattu Thakkali / நாட்டு தக்காளி,Tomato,30,34,500 g,4.1 (131.7k),In Stock,https://www.zeptonow.com/pn/tomato-country-naattu-thakkali/pvid/d60b2214-1856-4213-aa81-7e656fb64282,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Banana Robusta Semi Ripe,Banana,33,40,450 - 550 Grams,3.9 (22.9k),In Stock,https://www.zeptonow.com/pn/banana-robusta-semi-ripe/pvid/e71597b4-ee84-46be-bc18-d4ea8ea62fd5,"https://cdn.zeptonow.com/production/tr:w-1280,ar-500-500,pr-true,f-auto,q-80/cms/product_variant/386b93d5-d474-467d-b6d8-3e239a2b55d2.jpeg"
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Mushroom Button (Kalaan),Mushroom,57,61,200 g,4.4 (32.6k),In Stock,https://www.zeptonow.com/pn/mushroom-button-kalaan/pvid/b2f4b868-288e-4f8e-a82c-c6bc748aa9e7,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/0ff5fd95-b253-426f-90fc-cbc0d1ce0078.jpeg"
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Green Chilli (Pachchai Milagai),Green,12,12,100 g,4.6 (74.0k),In Stock,https://www.zeptonow.com/pn/green-chilli-pachchai-milagai/pvid/9ca4d4fe-5567-49e0-8d23-70fde79693b2,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Coconut Small,Coconut,43,55,1 pc,4.1 (41.1k),In Stock,https://www.zeptonow.com/pn/coconut-small/pvid/cc180bd8-cc9c-4688-878e-5931f5c9fcd1,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Onion (Vengayam),Onion,40,52,1 Pack (900 - 1000 Gm),4.4 (121.1k),In Stock,https://www.zeptonow.com/pn/onion-vengayam/pvid/ba3309c3-5743-41c0-bcb4-0748d8c615fc,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Snacky Avocado,Snacky,69,78,1 piece,4.2 (12.0k),In Stock,https://www.zeptonow.com/pn/snacky-avocado/pvid/41bdd706-3d49-4c67-abc2-364679e3a16b,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Mint Leaves,Mint,9,13,100 Grams,4.5 (132.6k),In Stock,https://www.zeptonow.com/pn/mint-leaves/pvid/3e562442-cf06-497a-bdbf-222eaa862d1a,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Lady Finger (Vendikaai),Lady,22,50,250 g,4.4 (65.8k),In Stock,https://www.zeptonow.com/pn/lady-finger-vendikaai/pvid/803ef336-d3ed-4150-b89c-4cd4ae984f61,https://cdn.zeptonow.com/production/image_not_available.jpeg
Fruits & Vegetables,All,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/102e9688-c220-4a0e-bc35-0f0b16de6ad1.png",Banana Red Semi Ripe,Banana,64,80,450 - 550 Grams,4.1 (46.1k),In Stock,https://www.zeptonow.com/pn/banana-red-semi-ripe/pvid/e3c155e3-d2e3-4128-bd61-f0bd4891bafa,"https://cdn.zeptonow.com/production/tr:w-1280,ar-225-225,pr-true,f-auto,q-80/cms/product_variant/487d286e-852d-4a27-afa7-24fe7d675e13.jpeg"
