main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Perrier Imported Sparkling Water,Perrier,375,375,750 ml,4.6 (103),In Stock,https://www.zeptonow.com/pn/perrier-imported-sparkling-water/pvid/e76dcf81-93fb-4028-82c7-a369eef96750,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/a84f74bd-fade-4eab-8fb8-aabb40af8f6a.jpg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Mint Mojito Sparkling Water | Sugar Free Cocktail Mixer,Paper Boat,59,60,600 ml,4.7 (2.1k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-mint-mojito-sparkling-water-sugar-free-cocktail-mixer/pvid/a04753fd-cbc4-4f97-a7d4-bddf59a1928d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/fe40d8b1-39e0-4663-802c-b4e0536a871b.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Lemon Lime Sparkling Water | Sugar Free Cold Drink,Paper Boat,59,60,600 ml,4.8 (6.7k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-lemon-lime-sparkling-water-sugar-free-cold-drink/pvid/a02356db-f2df-4bb0-a669-64d47857bc43,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/78e249b6-e4dd-42a0-a0f8-732496ce7f78.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Ginger Lemon Sparkling Water | Sugar Free Ginger Ale Drink,Paper Boat,59,60,600 ml,4.8 (2.3k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-ginger-lemon-sparkling-water-sugar-free-ginger-ale-drink/pvid/fb735a3d-13e8-49d3-aca2-eb1d2b33ad11,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/d83d5ecf-6af4-4731-b212-05118c78a1cf.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Green Apple Sparkling Water | Sugar Free Cold Drink,Paper Boat,59,60,600 ml,4.9 (2.7k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-green-apple-sparkling-water-sugar-free-cold-drink/pvid/10ea9553-c5b5-438e-b92c-17152d50916c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/2e4e73c3-e25a-49af-8145-f56a2eeef23e.jpg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Jimmy's Cocktails Zero Sugar Green Apple Sparkling Water,Jimmy's,60,60,600 ml,4.4 (383),In Stock,https://www.zeptonow.com/pn/jimmys-cocktails-zero-sugar-green-apple-sparkling-water/pvid/ceda09b9-2a65-4b4c-bc64-c89037d94040,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/26cc9a1d-2878-452f-9e20-0e85fde58c49.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Peach Sparkling Water | Sugar Free Cold Drink,Paper Boat,59,60,600 ml,4.8 (2.6k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-peach-sparkling-water-sugar-free-cold-drink/pvid/e1365193-da9f-41e0-99ba-2e45f0377879,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/ad33c80d-b0e4-41b5-bfac-59bcfafbf829.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Jimmy's Cocktails Zero Sugar Lime & Lemon Sparkling Water,Jimmy's,59,60,600 ml,4.4 (323),In Stock,https://www.zeptonow.com/pn/jimmys-cocktails-zero-sugar-lime-lemon-sparkling-water/pvid/c29f6b00-3642-41c9-95ce-758694d324e6,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/0da8222c-44a4-4348-ad04-fc84ff117d69.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Jimmy's Cocktails Peach Sparkling Water,Jimmy's,60,60,600 ml,4.7 (311),In Stock,https://www.zeptonow.com/pn/jimmys-cocktails-peach-sparkling-water/pvid/9f778db2-a30d-4d9f-89f3-dc2d16fb312b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/a56fe0ad-f022-4e9e-bcaf-26f040035b16.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Cumin Sparkling Water | Sugar Free Jeera Drink,Paper Boat,59,60,600 ml,4.8 (4.2k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-cumin-sparkling-water-sugar-free-jeera-drink/pvid/51573613-2f20-475c-86fd-0555c5c23633,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/5a3d7ace-bd17-4a79-b9a9-550024ca7fcd.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Polka Pop Lemon and Lime Sparkling Water,Polka,40,40,300 ml,4.4 (2.7k),In Stock,https://www.zeptonow.com/pn/polka-pop-lemon-and-lime-sparkling-water/pvid/a9c6c418-25fe-4ae3-a16e-da8e0384342f,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/66bf471b-73b9-446b-81e6-e6ac4d39be9a.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Polka Pop Cranberry Sparkling Water,Polka,40,40,300 ml,4.1 (2.8k),In Stock,https://www.zeptonow.com/pn/polka-pop-cranberry-sparkling-water/pvid/892a7fd3-3280-49d9-8aac-526c7ee7449e,"https://cdn.zeptonow.com/production/tr:w-1280,ar-4500-4500,pr-true,f-auto,q-80/cms/product_variant/80c416bd-9b6e-4c6a-b2c5-96727991c552.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Polka Pop Peach Sparkling Water,Polka,40,40,300 ml,4.1 (1.4k),In Stock,https://www.zeptonow.com/pn/polka-pop-peach-sparkling-water/pvid/01a556cd-240a-45cf-bf71-5d43ce5e03e9,"https://cdn.zeptonow.com/production/tr:w-1280,ar-4500-4500,pr-true,f-auto,q-80/cms/product_variant/ac36525a-6a86-45c2-beb7-485cc80cff77.jpeg"
Homegrown Brands,Drinks & Juices,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/236.png",Paper Boat Zero Sugar Yuzu Orange Sparkling Water | Sugar Free Cold Drink,Paper Boat,59,60,600 ml,4 (1.4k),In Stock,https://www.zeptonow.com/pn/paper-boat-zero-sugar-yuzu-orange-sparkling-water-sugar-free-cold-drink/pvid/e323afa6-04cb-497c-8cc6-4266f22aeb94,"https://cdn.zeptonow.com/production/tr:w-1280,ar-980-980,pr-true,f-auto,q-80/cms/product_variant/8c96dea4-29dc-4869-aeb8-fcfc632b6843.jpeg"
