main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Open Secret Premium Walnut Kernels (Akhrot),Open Secret,601,1250,500 g,4.5 (102),In Stock,https://www.zeptonow.com/pn/open-secret-premium-walnut-kernels-akhrot/pvid/98e0cc78-3ab8-4fff-883d-8c0df70c62e5,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/8cbbd919-902b-4fa1-8e7c-8f83b06b4bad.jpg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Farmley Watermelon Seeds | Raw Magaj Seeds I Tarbuj Beej | Rich In Protein,Farmley,447,999,500 g,4.7 (133),In Stock,https://www.zeptonow.com/pn/farmley-watermelon-seeds-raw-magaj-seeds-i-tarbuj-beej-rich-in-protein/pvid/f6a892c5-4177-4a5c-a484-fdea3dd92c63,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/27ef58f5-3345-49c7-a3be-d9b4b3c2b9cb.jpg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",CRISTA Whole Green Cardamom,CRISTA,482,750,100 g,4.6 (298),In Stock,https://www.zeptonow.com/pn/crista-whole-green-cardamom/pvid/f41bd4ee-ecca-4ab2-b598-5b3ae103be82,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/3167194c-9ce4-4dca-b60d-2b4f6e8c9f4d.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Aashirvaad Black Pepper | Pure Kali Mirch,Aashirvaad,177,200,100 g,4.9 (1.7k),In Stock,https://www.zeptonow.com/pn/aashirvaad-black-pepper-pure-kali-mirch/pvid/0aeb4034-1baa-4fa7-a84a-7e8dc9c319f9,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/29721f54-1572-4047-ba37-a4b437ac3a4a.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png","Farmley Trail Mix Dry Fruit- Almonds, Cashews, Cranberries, Blueberries, Blackcurrant & More",Farmley,486,799,450 g,4.4 (657),In Stock,https://www.zeptonow.com/pn/farmley-trail-mix-dry-fruit-almonds-cashews-cranberries-blueberries-blackcurrant-more/pvid/3c107848-73c9-4e71-85b7-e30e9eb11be1,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/18962109-a2bf-48a3-bac1-317bc8a54f91.jpg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Nutraj Cashew/Kaju,Nutraj,1113,1499,1 kg,4.3 (604),In Stock,https://www.zeptonow.com/pn/nutraj-cashewkaju/pvid/f3b1311c-a2aa-4d2e-94e6-b49c7399fd55,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/69f873fa-ef88-4a15-ae3d-2120a138c84a.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Organic India Jaggery Powder,Organic,99,110,500 g,4.6 (2.8k),In Stock,https://www.zeptonow.com/pn/organic-india-jaggery-powder/pvid/205e77c5-774b-40a8-9af1-543100cc7290,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/8b7467ae-8639-4bd8-8ce8-a73e29f18ceb.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Farmley Premium Natural Chia Seeds Rich in Protein & Fiber,Farmley,118,199,200 g,4.7 (10.7k),In Stock,https://www.zeptonow.com/pn/farmley-premium-natural-chia-seeds-rich-in-protein-fiber/pvid/9c08efe4-18d1-4d8d-bb62-15ceec5433cb,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/7acd9e60-a6dd-4c5f-a0d2-a52112e44a8c.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Aashirvaad Cardamom | Elaichi | 100% Pure,Aashirvaad,275,300,50 g,5 (254),In Stock,https://www.zeptonow.com/pn/aashirvaad-cardamom-elaichi-100-pure/pvid/e06b7f25-5bb9-4858-acbd-ee882637b0ea,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/89e87ab8-1f23-4af8-9221-c9e3716d3613.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Open Secret Roasted And Salted Pistachio,Open Secret,676,1100,500 g,4.8 (488),In Stock,https://www.zeptonow.com/pn/open-secret-roasted-and-salted-pistachio/pvid/195083c7-6672-44f6-89a8-4a2f91bd6a40,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/e0a55872-ffc2-41e9-a242-e87b4b9e3e73.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Farmley Premium Dried Figs (Anjeer),Farmley,409,499,200 g,4.5 (1.1k),In Stock,https://www.zeptonow.com/pn/farmley-premium-dried-figs-anjeer/pvid/49f9ad56-0871-45d9-b4f9-f036254ec5b2,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/c7564cb5-9705-4358-80e4-97d2b30dcfa0.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",ZOFF Foods Black Pepper Whole-Kali Mirch,ZOFF,72,90,50 g,4.6 (6.8k),In Stock,https://www.zeptonow.com/pn/zoff-foods-black-pepper-whole-kali-mirch/pvid/2ea0cdc9-d681-4d5a-b497-6fc73cc5f47d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/9fe28e96-a03d-41fe-9ece-0e29dec35c25.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png","Organic India Stevia Powder, Natural Sweetener, Sugar Free, 25 Sachets",Sugar free,96,105,75 g,4.6 (457),In Stock,https://www.zeptonow.com/pn/organic-india-stevia-powder-natural-sweetener-sugar-free-25-sachets/pvid/50bdf453-2322-42bb-abf7-65ea32af7bb9,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4e48195f-ce95-4745-96a0-8f275190e62d.jpg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Happilo Premium International Omani Dates,Happilo,142,220,250 g,4.2 (1.2k),In Stock,https://www.zeptonow.com/pn/happilo-premium-international-omani-dates/pvid/7f7844da-e706-42b9-9fe4-6e4d6644ba34,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/9ed34a2e-6f56-4424-9baf-833ff560acb2.jpeg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png","Organic India Stevia Powder, Natural Sweetener, Sugar Free",Sugar free,196,225,75 g,4.7 (232),In Stock,https://www.zeptonow.com/pn/organic-india-stevia-powder-natural-sweetener-sugar-free/pvid/8d48be49-8b1f-4dfe-a291-84dce6f65e48,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/1fdcd6e3-a1d2-4df4-bcd4-abb4f384b6fc.jpg"
Masala & Dry Fruits,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/40.png",Tata Sampann Coriander Powder With Natural Oils Dhania Powder,Tata,180,205,500 g,4.9 (2.0k),In Stock,https://www.zeptonow.com/pn/tata-sampann-coriander-powder-with-natural-oils-dhania-powder/pvid/1dec35fe-fb35-4091-822b-204ab50caa77,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/8a8e5e65-80c0-49bc-90dd-5145ef5c30f8.jpeg"
