main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Let's Try Namkeen Combo Pack Of 6 (Crunchy Party Mix Peanut Party Mix Aloo Bhujia),Let's,81,90,6 x 28 g,4.3 (21.9k),In Stock,https://www.zeptonow.com/pn/lets-try-namkeen-combo-pack-of-6-crunchy-party-mix-peanut-party-mix-aloo-bhujia/pvid/ba7b6758-1eb3-4f88-ae47-2527eaccc223,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1573-1600,pr-true,f-auto,q-80/cms/product_variant/9ceb50df-e4d5-4964-ad77-6b1e21f2b155.jpg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",ACT II Ready to Eat Popcorn - Sour Cream & Cheese Popcorn,ACT,40,40,50 g,4.8 (15.0k),In Stock,https://www.zeptonow.com/pn/act-ii-ready-to-eat-popcorn-sour-cream-cheese-popcorn/pvid/02aa7776-a46d-4712-8621-1e0bdb6c9bf8,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/a47785eb-2be0-4c2c-87bb-22d8e65b00f4.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",RiteBite Max Protein 10g Protein Bar Daily Assorted (Pack Of 6),Max Protein,449,480,300 g,4.7 (1.1k),In Stock,https://www.zeptonow.com/pn/ritebite-max-protein-10g-protein-bar-daily-assorted-pack-of-6/pvid/d5ae2831-226b-4247-b26c-da17f1498f6c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/f0762aec-c73a-43bb-84ef-e6ac0dd8770e.jpg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Let's Try Garlic Ribbon Murukku,Let's,85,120,180 g,4.4 (1.7k),In Stock,https://www.zeptonow.com/pn/lets-try-garlic-ribbon-murukku/pvid/5eb5df5c-06fa-42f7-8baf-f3a3dc737578,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1573-1600,pr-true,f-auto,q-80/cms/product_variant/c1e0f9d6-a132-494d-9162-a0a4779ba942.jpg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",ACT II Instant Popcorn - Butter Delite | Hot & Fresh in 3 mins,ACT,135,135,450 g,4.6 (4.7k),In Stock,https://www.zeptonow.com/pn/act-ii-instant-popcorn-butter-delite-hot-fresh-in-3-mins/pvid/162b8365-9104-4a16-bec2-66a236c0734a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1021-1021,pr-true,f-auto,q-80/cms/product_variant/e8ff181f-a1a1-4bd1-96da-2a0f938a52ae.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Farmley Snack Mix Nuts | Mexican Peri Peri,Farmley,429,499,405 g,4.8 (239),In Stock,https://www.zeptonow.com/pn/farmley-snack-mix-nuts-mexican-peri-peri/pvid/2ea217d1-4a73-4bbd-8555-79bfcceb9134,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/0a45cc6b-3cde-4461-8170-cf817bca5234.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Crax Cheese Balls Puff Snacks,Crax,36,60,65 g,4.7 (18.1k),In Stock,https://www.zeptonow.com/pn/crax-cheese-balls-puff-snacks/pvid/d6aebca5-958a-40d7-8ae2-e8d434a231ec,"https://cdn.zeptonow.com/production/tr:w-1280,ar-580-864,pr-true,f-auto,q-80/inventory/product/07064e42-0d99-454c-baf2-62997f1823e7-/tmp/20230921-1653101.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",ACT II Ready to Eat Popcorn - Butter Popcorn,ACT,25,25,47 g,4.7 (68.8k),In Stock,https://www.zeptonow.com/pn/act-ii-ready-to-eat-popcorn-butter-popcorn/pvid/08a7fbae-ff8e-4f59-b210-d2a2dbfc94d6,"https://cdn.zeptonow.com/production/tr:w-1280,ar-489-415,pr-true,f-auto,q-80/cms/product_variant/eff34a6d-2d46-4bb4-ba2e-13dd5fe513b2.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",RiteBite Max Protein 30g Protein Bar Choco Almond,Max Protein,170,180,100 g,4.5 (1.3k),In Stock,https://www.zeptonow.com/pn/ritebite-max-protein-30g-protein-bar-choco-almond/pvid/81c278dd-99cc-4dad-b458-845b94c54fe2,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/inventory/product/96c5720b-99ab-4eba-ba4c-927b1b385ad5-/tmp/20230302-0507291.jpeg"
Munchies,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/105.png",Millet Namkeen - Healthy Snacks Combo - 4 Flavours - Eat Better Co,Millet,99,99,4 x 30 g,4.9 (1.0k),In Stock,https://www.zeptonow.com/pn/millet-namkeen-healthy-snacks-combo-4-flavours-eat-better-co/pvid/823d3433-f664-4c81-8aa0-da1c6f8d2f57,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/4bcc5201-f8ac-4144-91ca-c6f3f4b4ae81.jpeg"
