main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Lindt Lindor Smooth Melting Assorted Chocolates Cornet,Lindt,926,1199,1 pack (200 g),4.1 (402),In Stock,https://www.zeptonow.com/pn/lindt-lindor-smooth-melting-assorted-chocolates-cornet/pvid/b717fcc1-bad2-4666-9696-debf6e7f56d8,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/c61318fa-e989-43dc-894e-facbf9d4fe4a.jpeg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",GO DESi Fun Rakhi Gift Box for Brother | 17 items Rakhi Hamper,GO,419,699,1 pack (215 g),4.4 (126),In Stock,https://www.zeptonow.com/pn/go-desi-fun-rakhi-gift-box-for-brother-17-items-rakhi-hamper/pvid/d064d98c-9aee-4b04-9525-e081a6c56f05,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1080-1080,pr-true,f-auto,q-80/cms/product_variant/82051c23-b4d7-4ee2-a0ef-499529034c1f.jpeg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Kaju Katli Classic | Kaju Barfi | Sweets | By GO DESi,Kaju,200,235,1 pack (200 g),4 (15.2k),In Stock,https://www.zeptonow.com/pn/kaju-katli-classic-kaju-barfi-sweets-by-go-desi/pvid/b4a61fbb-992f-4169-8625-9f4d12eff88b,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/67a1aa3c-4eec-422b-986f-853854e59357.jpeg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Lindt Exotic Milk Cornet Chocolate,Lindt,890,1199,1 pack (200 g),4.7 (353),In Stock,https://www.zeptonow.com/pn/lindt-exotic-milk-cornet-chocolate/pvid/a679050b-e886-4a37-b172-81c313cda11a,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/10437c77-c948-4e35-b88e-d5579d8b2025.jpeg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Lal Sweets Motichoor Laddu,Lal,117,125,1 pack (200 g),4.3 (14.9k),In Stock,https://www.zeptonow.com/pn/lal-sweets-motichoor-laddu/pvid/d4fafc6e-5137-4f23-bc86-647d7b7072da,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/ae406880-dfa8-4719-beba-3452a10ea705.png"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Amul Dark Chocolate Bar,Amul,199,200,1 pc (150 g),4.7 (13.2k),In Stock,https://www.zeptonow.com/pn/amul-dark-chocolate-bar/pvid/671896eb-3b7f-43a1-bb4b-5db277ca53d9,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/b1c1dd9e-9d9d-41ec-a793-699656f475fd.jpeg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Rang Munch Royal Paan (Mouth Freshener),Rang,140,160,1 pack (100 g),4 (1.8k),In Stock,https://www.zeptonow.com/pn/rang-munch-royal-paan-mouth-freshener/pvid/0ebdb144-5f35-456d-abc1-b4ade90b228d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1044,pr-true,f-auto,q-80/cms/product_variant/018ad9d3-2b37-485a-a1c8-3f504a11b07f.jpeg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Lindt Excellence 90% Cocoa Supreme Dark Chocolate Bar,Lindt,516,599,1 pack (100 g),4.4 (277),In Stock,https://www.zeptonow.com/pn/lindt-excellence-90-cocoa-supreme-dark-chocolate-bar/pvid/e6cdf673-e87e-46c7-aaa3-ee9c5a0367f6,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2400-2400,pr-true,f-auto,q-80/cms/product_variant/077635aa-a8ff-4890-a530-a733e7007251.jpg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Toblerone Fruit & Nut Chocolate,Toblerone,305,399,1 pc (100 g),5 (254),In Stock,https://www.zeptonow.com/pn/toblerone-fruit-nut-chocolate/pvid/25dbafb3-ff91-468e-bfe2-e5b2f3dd7e7c,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/6ef71687-7942-4e10-a7a3-df1d0543f5f5.jpg"
Sweet Cravings,Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-121,pr-true,f-auto,q-80/cms/sub_category/25.png",Ferrero Rocher Gift Pack,Ferrero,893,950,1 pack (24 pcs),4.7 (11.1k),In Stock,https://www.zeptonow.com/pn/ferrero-rocher-gift-pack/pvid/87b32ef4-b5d1-4047-8056-23864d3faf04,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1280-1280,pr-true,f-auto,q-80/cms/product_variant/9828a60d-69c6-48a4-8220-7fc653fa3721.jpeg"
