main_category,sub_category,sub_category_image_url,product_name,brand,price,original_price,quantity,rating,stock_status,product_url,image_url
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Tata Tea Premium Desh Ki Chai Black Tea,Tata,278,280,500 g,4.7 (22.9k),In Stock,https://www.zeptonow.com/pn/tata-tea-premium-desh-ki-chai-black-tea/pvid/1f9bdcbb-b8ad-472c-9c63-b751283d6c83,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/fda1e0e0-1063-4b7a-b4a1-e35039672a88.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Nescafe Classic - Instant Coffee Powder - 100% Pure Coffee,Nescafe,245,245,45 g,4.7 (9.5k),In Stock,https://www.zeptonow.com/pn/nescafe-classic-instant-coffee-powder-100-pure-coffee/pvid/817dd990-1675-4e6b-88f9-fdc865cb2801,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1000-1000,pr-true,f-auto,q-80/cms/product_variant/dd60e80a-293d-4a10-bdaf-766eff3a017c.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Bournvita Chocolate | Cereal Based Drink Mix Jar,Bournvita,150,150,200 g,4.6 (13.3k),In Stock,https://www.zeptonow.com/pn/bournvita-chocolate-cereal-based-drink-mix-jar/pvid/e81736e2-ed8f-4b0d-b3cf-a995d1164f8e,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1100-1100,pr-true,f-auto,q-80/cms/product_variant/1fd44297-cc65-47b9-899d-7059b5a0a8f2.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Nescafe Gold Blend Rich and Smooth Arabica and Robusta Instant Coffee,Nescafe,670,750,100 g,4.7 (1.6k),In Stock,https://www.zeptonow.com/pn/nescafe-gold-blend-rich-and-smooth-arabica-and-robusta-instant-coffee/pvid/bee9353f-3ec3-4fdf-a077-e1b31b10dca4,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/998928b5-a6f5-4d37-9e32-71c981261bc2.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",ENSURE Balanced Vanilla Drink Mix,ENSURE,775,800,375 g,4.7 (863),In Stock,https://www.zeptonow.com/pn/ensure-balanced-vanilla-drink-mix/pvid/d20b1c73-58f2-4d63-a91e-fed3afacff97,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1500-1500,pr-true,f-auto,q-80/cms/product_variant/b5471f15-fc5a-4da1-8de3-fefeae54bb0c.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Colombian Brew Assorted Medium Roast Coffee Premix,Colombian,240,299,180 g,4.8 (161),In Stock,https://www.zeptonow.com/pn/colombian-brew-assorted-medium-roast-coffee-premix/pvid/46244f2e-f010-4fb6-8317-208c438817a6,"https://cdn.zeptonow.com/production/tr:w-1280,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/98ee80fa-1d91-4915-a881-8690b7026b12.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Nescafe Cafe Style Iced Latte Cold Coffee,Nescafe,46,50,170 ml,4.6 (5.0k),In Stock,https://www.zeptonow.com/pn/nescafe-cafe-style-iced-latte-cold-coffee/pvid/35c93dee-67b3-4e06-82de-ae4d887d4a9d,"https://cdn.zeptonow.com/production/tr:w-1280,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/999782bd-87bd-49b3-9ebf-32681dc438e9.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Nestea Lemon Iced Tea Premix,Nestea,199,250,400 g,4.6 (1.7k),In Stock,https://www.zeptonow.com/pn/nestea-lemon-iced-tea-premix/pvid/7f8ee41e-37c9-4a2a-88f1-1d6656efa7ec,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/81ff8d8c-43f7-48ba-a8ca-0cc87ddf8731.jpeg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",Toyo Kombucha Exotic Peach Kombucha,Toyo,91,95,330 ml,4.8 (976),In Stock,https://www.zeptonow.com/pn/toyo-kombucha-exotic-peach-kombucha/pvid/020a60fe-f2ec-450d-a127-87b660ea2754,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1200-1200,pr-true,f-auto,q-80/cms/product_variant/12049e8c-d283-4528-add0-f01601c16ddd.jpg"
"Tea, Coffee & More",Top Picks,"https://cdn.zeptonow.com/production/tr:w-90,ar-120-120,pr-true,f-auto,q-80/cms/sub_category/168.png",3 Roses Dust Tea,3,225,225,250 g,4.8 (4.1k),In Stock,https://www.zeptonow.com/pn/3-roses-dust-tea/pvid/1c035efd-595d-4a32-a935-4eefc369edb0,"https://cdn.zeptonow.com/production/tr:w-1280,ar-1100-1100,pr-true,f-auto,q-80/cms/product_variant/472a7855-f6bb-4fdd-a129-fca82b9f001c.jpeg"
